Word,Count
the,28055
project,273
gutenberg,264
ebook,39
of,13693
moby,83
dick,80
or,2272
whale,966
this,2316
is,4006
for,4459
use,366
anyone,19
anywhere,33
in,8636
united,62
states,71
and,16556
most,553
other,780
parts,85
world,283
at,2646
no,1353
cost,28
with,4377
almost,248
restrictions,6
whatsoever,18
you,3523
may,668
copy,57
it,5641
give,271
away,538
reuse,6
under,283
terms,85
license,54
included,22
online,13
wwwgutenbergorg,15
if,1659
are,1854
not,2651
located,22
will,1131
have,1893
to,11919
check,23
laws,42
country,66
where,421
before,606
using,54
title,15
author,23
herman,2
melville,2
release,3
date,11
july,3
recently,8
updated,6
august,13
language,51
english,294
start,54
mobydick,2
by,2390
contents,15
etymology,3
extracts,7
supplied,26
a,11218
subsublibrarian,2
chapter,321
loomings,2
carpetbag,4
spouterinn,5
counterpane,7
breakfast,31
street,36
chapel,17
pulpit,17
sermon,11
bosom,19
friend,135
nightgown,5
biographical,2
wheelbarrow,5
nantucket,96
chowder,8
ship,393
ramadan,11
his,4014
mark,65
prophet,16
all,2626
astir,4
going,276
aboard,26
merry,38
christmas,55
lee,23
shore,45
advocate,4
postscript,4
knights,9
squires,4
ahab,421
enter,19
him,1952
stubb,230
pipe,38
queen,36
mab,3
cetology,11
specksnyder,4
cabintable,2
masthead,37
quarterdeck,31
sunset,16
dusk,8
first,531
nightwatch,2
midnight,32
forecastle,40
whiteness,26
hark,17
chart,8
affidavit,3
surmises,4
matmaker,2
lowering,19
hyena,4
ahabs,77
boat,258
crew,143
fedallah,26
spiritspout,2
albatross,11
gam,8
townhos,5
story,130
monstrous,13
pictures,38
whales,397
less,98
erroneous,2
true,158
whaling,115
scenes,19
paint,14
teeth,53
wood,43
sheetiron,3
stone,32
mountains,20
stars,18
brit,10
squid,7
line,136
kills,3
dart,28
crotch,11
stubbs,27
supper,51
as,4881
dish,17
shark,22
massacre,3
cutting,31
blanket,11
funeral,12
sphynx,2
jeroboams,5
monkeyrope,8
flask,98
kill,32
right,292
then,1081
talk,97
over,820
sperm,240
headcontrasted,4
view,74
batteringram,4
great,571
heidelburgh,9
tun,16
cistern,5
buckets,6
prairie,12
nut,3
pequod,126
meets,17
virgin,12
honor,65
glory,28
jonah,71
historically,8
regarded,48
pitchpoling,7
fountain,15
tail,84
grand,76
armada,2
schools,14
schoolmasters,3
fastfish,16
loosefish,16
heads,69
tails,10
rosebud,7
ambergris,14
castaway,5
squeeze,14
hand,383
cassock,3
tryworks,19
lamp,27
stowing,3
down,739
clearing,9
up,1296
doubloon,21
leg,91
arm,126
decanter,3
bower,10
arsacides,4
measurement,4
skeleton,35
fossil,6
does,232
magnitude,23
diminishwill,2
he,3762
perish,6
carpenter,43
starbuck,170
cabin,76
queequeg,212
coffin,48
pacific,35
blacksmith,19
forge,12
gilder,2
bachelor,9
dying,24
watch,90
quadrant,9
candles,11
deck,163
towards,126
end,170
night,222
midnightthe,2
bulwarks,38
aloftthunder,2
lightning,23
musket,8
needle,16
log,22
lifebuoy,10
rachel,6
hat,94
delight,49
symphony,2
chasefirst,2
day,426
chasesecond,2
chasethird,2
epilogue,2
original,51
transcribers,2
notes,13
text,7
combination,6
etexts,1
one,2106
from,1886
nowdefunct,1
eris,1
virginia,5
tech,2
gutenbergs,4
archives,1
proofreaders,3
version,14
indebted,2
university,3
adelaide,1
library,21
preserving,4
resulting,3
etext,1
was,4173
compared,33
public,27
domain,7
hard,231
late,73
consumptive,1
usher,1
grammar,59
school,47
pale,47
usherthreadbare,1
coat,35
heart,304
body,123
brain,38
i,5640
see,819
now,1289
ever,407
dusting,4
old,928
lexicons,1
grammars,4
queer,74
handkerchief,18
mockingly,1
embellished,3
gay,47
flags,1
known,119
nations,19
loved,68
dust,24
somehow,59
mildly,13
reminded,12
mortality,1
while,496
take,387
others,150
teach,33
them,1125
what,1327
name,186
whalefish,1
be,2776
called,249
our,482
tongue,46
leaving,73
out,1120
through,394
ignorance,15
letter,76
h,7
which,1809
alone,137
maketh,7
signification,2
word,402
deliver,11
that,5657
hackluyt,3
sw,1
dan,7
hval,1
animal,22
named,22
roundness,2
rolling,36
hvalt,2
arched,9
vaulted,2
websters,4
dictionary,10
more,1024
immediately,29
dut,1
ger,1
wallen,1
walwian,1
roll,23
wallow,3
richardsons,1
hebrew,4
greek,21
cetus,3
latin,37
whl,1
anglosaxon,4
danish,5
wal,2
dutch,29
hwal,1
swedish,1
icelandic,5
ballena,1
spanish,15
pekeenueenuee,1
fegee,1
peheenueenuee,1
erromangoan,1
seen,251
mere,58
painstaking,1
burrower,1
grubworm,1
poor,288
devil,51
subsub,2
appears,17
gone,150
long,573
vaticans,1
streetstalls,1
earth,62
picking,11
whatever,90
random,7
allusions,7
could,660
anyways,2
find,225
any,899
book,160
sacred,21
profane,7
therefore,105
must,541
every,529
case,187
least,119
higgledypiggledy,1
statements,23
however,167
authentic,3
these,749
veritable,4
gospel,2
far,253
touching,65
ancient,40
authors,11
generally,42
well,644
poets,10
here,496
appearing,6
solely,7
valuable,24
entertaining,4
affording,2
glancing,17
birds,26
eye,129
has,676
been,842
promiscuously,2
said,1191
thought,402
fancied,27
sung,26
leviathan,90
many,401
generations,12
including,36
own,432
so,2384
fare,15
thee,162
whose,174
commentator,1
am,244
thou,361
belongest,1
hopeless,9
sallow,1
tribe,9
wine,27
warm,62
whom,140
even,333
sherry,1
would,1040
too,408
rosystrong,1
but,3739
sometimes,212
loves,22
sit,70
